id:ID,name,inception,:LABEL
Q1928222,Modula-3,1989-01-01T00:00:00Z,Technology
Q7105278,Orwell,1984-01-01T00:00:00Z,Technology
Q526649,IBM RPG II,1965-01-01T00:00:00Z,Technology
Q1323362,Oberon,1987-01-01T00:00:00Z,Technology
Q3622471,Argus,1980-01-01T00:00:00Z,Technology
Q10350148,Pizza,1996-01-01T00:00:00Z,Technology
Q7665653,XC,2005-01-01T00:00:00Z,Technology
Q28942577,RPG/400,1988-01-01T00:00:00Z,Technology
Q810009,BCPL,1967-01-01T00:00:00Z,Technology
Q1044290,Etoys,1996-01-01T00:00:00Z,Technology
Q649594,Lattice C,,Technology
Q838062,occam,1983-01-01T00:00:00Z,Technology
Q860654,ML,1973-01-01T00:00:00Z,Technology
Q1057802,ABC,1975-01-01T00:00:00Z,Technology
Q840543,RPG,1959-01-01T00:00:00Z,Technology
Q5442117,Felix,,Technology
Q3094826,Gallina,,Technology
Q1209759,ALGOL 60,,Technology
Q735604,AspectJ,2001-01-01T00:00:00Z,Technology
Q5974027,ISLISP,1997-01-01T00:00:00Z,Technology
Q7630640,SubL,,Technology
Q1136926,Alice,2000-01-01T00:00:00Z,Technology
Q1537488,M,2008-01-01T00:00:00Z,Technology
Q1334586,Emacs Lisp,1985-01-01T00:00:00Z,Technology
Q5405195,EuLisp,1990-01-01T00:00:00Z,Technology
Q1562670,H2,2005-12-14T00:00:00Z,Technology
Q116697679,Cports,,Technology
Q1141484,WEB,,Technology
Q572117,GEOS,,Technology
Q28960864,Discipulus,2012-07-01T00:00:00Z,Technology
Q1024000,COMIT,1957-01-01T00:00:00Z,Technology
Q973097,Visual J++,1996-01-01T00:00:00Z,Technology
Q616360,Tk,,Technology
Q589680,Xenix,,Technology
Q844595,Bourne shell,1979-01-01T00:00:00Z,Technology
Q974083,JOSS,1963-01-01T00:00:00Z,Technology
Q28942354,Regional Assembly Language,1951-01-01T00:00:00Z,Technology
Q28942365,Rochester assembler,1951-01-01T00:00:00Z,Technology
Q28942363,Whirlwind assembler,1951-01-01T00:00:00Z,Technology
Q7669982,TELCOMP,1965-01-01T00:00:00Z,Technology
Q1799609,HyTime,1992-01-01T00:00:00Z,Technology
Q1210707,GEOS,1990-01-01T00:00:00Z,Technology
Q30500650,WebDAV Ordered Collections Protocol,,Technology
Q30500661,WebDAV Access Control Protocol,,Technology
Q1151190,Cω,2005-01-01T00:00:00Z,Technology
Q16632358,Caméléon,2009-01-01T00:00:00Z,Technology
Q1160312,J#,2002-01-01T00:00:00Z,Technology
