id:ID,name,birth_date,place_of_birth,occupation,:LABEL
Q6060,50 Cent,1975-07-06T00:00:00Z,South Jamaica,actor,Human
Q5977,Buddy Holly,1936-09-07T00:00:00Z,Lubbock,singer,Human
Q8873,Satyajit Ray,1921-05-02T00:00:00Z,Kolkata,writer,Human
Q8753,Enrico Fermi,1901-09-29T00:00:00Z,Rome,inventor,Human
Q8778,Galen,0129-09-01T00:00:00Z,Pergamon,surgeon,Human
Q8877,Steven Spielberg,1946-12-18T00:00:00Z,Cincinnati,screenwriter,Human
Q8747,Euclid,-0333-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/4b59ee24e4980c8cbdbcd7e65c458d29,writer,Human
Q8750,Michael Faraday,1791-09-22T00:00:00Z,Newington Butts,writer,Human
Q8772,Joseph Fourier,1768-03-21T00:00:00Z,Auxerre,mathematician,Human
Q8814,Augustin-Louis Cauchy,1789-08-21T00:00:00Z,Paris,mathematician,Human
Q8023,Nelson Mandela,1918-07-18T00:00:00Z,Mvezo,lawyer,Human
Q8018,Augustine of Hippo,0354-11-14T00:00:00Z,Thagaste,theologian,Human
Q6078,Dr. Dre,1965-02-18T00:00:00Z,Compton,disc jockey,Human
Q6096,Q6096,1971-10-20T00:00:00Z,Long Beach,actor,Human
Q6091,Jessica Ennis-Hill,1986-01-28T00:00:00Z,Sheffield,athletics competitor,Human
Q6101,Marco Polo,1254-09-22T00:00:00Z,Venice,memoirist,Human
Q1470,M. C. Escher,1898-06-17T00:00:00Z,Leeuwarden,photographer,Human
Q9364,Jean-Paul Sartre,1905-06-21T00:00:00Z,Paris,screenwriter,Human
Q9215,Sigmund Freud,1856-05-06T00:00:00Z,Příbor,neurologist,Human
Q288525,Birdy,1996-05-15T00:00:00Z,Lymington,singer-songwriter,Human
Q218042,Jessie Ware,1984-10-15T00:00:00Z,Hammersmith,singer,Human
Q286440,Pierre-Paul Émile Roux,1853-12-17T00:00:00Z,Confolens,immunologist,Human
